window_index,start_ps,end_ps,toggled_bits,toggle_events
15841,1267280000,1267360000,17965,3305
15842,1267360000,1267440000,20957,4005
15843,1267440000,1267520000,17810,3590
15844,1267520000,1267600000,15516,3022
15845,1267600000,1267680000,19043,3437
15846,1267680000,1267760000,22269,4107
15847,1267760000,1267840000,16823,3573
15848,1267840000,1267920000,13263,2584
15849,1267920000,1268000000,19184,3775
15850,1268000000,1268080000,21736,4155
15851,1268080000,1268160000,17160,3559
15852,1268160000,1268240000,12905,2364
15853,1268240000,1268320000,21823,3982
15854,1268320000,1268400000,23938,4301
15855,1268400000,1268480000,16480,3483
15856,1268480000,1268560000,12384,2294
15857,1268560000,1268640000,20156,3971
15858,1268640000,1268720000,22228,4222
15859,1268720000,1268800000,16155,3361
15860,1268800000,1268880000,13438,2485
15861,1268880000,1268960000,22287,3999
15862,1268960000,1269040000,20001,3886
15863,1269040000,1269120000,16661,3443
15864,1269120000,1269200000,14442,2733
15865,1269200000,1269280000,19980,3989
15866,1269280000,1269360000,19290,3620
15867,1269360000,1269440000,16374,3364
15868,1269440000,1269520000,17372,3081
15869,1269520000,1269600000,22817,4006
15870,1269600000,1269680000,17924,3617
15871,1269680000,1269760000,15788,3129
15872,1269760000,1269840000,17316,3305
15873,1269840000,1269920000,20835,4006
15874,1269920000,1270000000,18076,3599
15875,1270000000,1270080000,15032,3022
15876,1270080000,1270160000,18398,3437
15877,1270160000,1270240000,22279,4108
15878,1270240000,1270320000,16314,3568
15879,1270320000,1270400000,13253,2584
15880,1270400000,1270480000,19570,3776
15881,1270480000,1270560000,20818,4149
15882,1270560000,1270640000,17195,3556
15883,1270640000,1270720000,12012,2364
15884,1270720000,1270800000,20895,3981
15885,1270800000,1270880000,23689,4319
15886,1270880000,1270960000,16223,3482
15887,1270960000,1271040000,12061,2294
15888,1271040000,1271120000,20036,3970
15889,1271120000,1271200000,22813,4221
15890,1271200000,1271280000,15963,3361
15891,1271280000,1271360000,12922,2485
15892,1271360000,1271440000,22513,4002
15893,1271440000,1271520000,20795,3885
15894,1271520000,1271600000,16308,3443
15895,1271600000,1271680000,14067,2733
15896,1271680000,1271760000,20255,3998
15897,1271760000,1271840000,19596,3627
15898,1271840000,1271920000,16080,3364
